Seat No,Gender,DOB,Attempt,city,State,Category,Phy,Chem,Bio,Total,Year
NEET2024100076,Female,28/01/2003,1,Mumbai,Maharashtra,General,43,171,209,423,2025
NEET2023100077,Female,06/04/2005,4,Solapur,Maharashtra,General,142,117,154,413,2023
NEET2024100078,Male,29/06/2004,3,Solapur,Maharashtra,General,48,177,87,312,2024
NEET2026100079,Female,30/04/2001,4,Sangli,Maharashtra,SC,136,87,327,550,2026
NEET2024100080,Female,04/06/2003,1,Ratnagiri,Maharashtra,OBC,45,55,166,266,2024
NEET2026100081,Female,12/12/2001,4,Sangli,Maharashtra,SC,49,70,61,180,2023
NEET2024100082,Female,06/08/2002,2,Aurangabad,Maharashtra,ST,102,146,96,344,2023
NEET2023100083,Male,08/02/2006,2,Nashik,Maharashtra,SC,68,98,132,298,2025
NEET2025100084,Female,03/12/2004,4,Pune,Maharashtra,General,149,107,266,522,2023
NEET2023100085,Male,04/11/2004,1,Bengaluru,Karnataka,SC,112,94,73,279,2023
NEET2026100086,Female,22/07/2008,2,Hyderabad,Telangana,EWS,74,150,325,549,2026
NEET2025100087,Female,13/02/2007,3,Chennai,Tamil Nadu,SC,155,53,300,508,2023
NEET2026100088,Male,20/10/2001,4,Kolhapur,Maharashtra,General,135,156,207,498,2025
NEET2023100089,Female,30/10/2002,4,Kolhapur,Maharashtra,General,59,133,323,515,2024
NEET2024100090,Female,24/10/2005,2,Kolhapur,Maharashtra,SC,157,143,86,386,2026
NEET2024100091,Female,31/10/2007,1,Solapur,Maharashtra,EWS,61,37,182,280,2026
NEET2024100092,Female,16/01/2001,3,Nashik,Maharashtra,EWS,59,148,120,327,2025
NEET2026100093,Male,28/08/2004,4,Chennai,Tamil Nadu,OBC,153,150,184,487,2024
NEET2025100094,Male,12/10/2000,3,Aurangabad,Maharashtra,SC,136,117,319,572,2026
NEET2025100095,Female,31/08/2001,4,Solapur,Maharashtra,SC,167,153,236,556,2024
NEET2026100096,Male,27/10/2007,3,Nashik,Maharashtra,ST,176,128,179,483,2026
NEET2024100097,Female,30/04/2004,1,Delhi,Delhi,ST,68,156,78,302,2023
NEET2026100098,Male,24/11/2005,1,Kolkata,West Bengal,ST,146,33,133,312,2025
NEET2026100099,Female,18/10/2003,4,Ratnagiri,Maharashtra,EWS,131,50,228,409,2023
NEET2023100100,Female,04/12/2006,1,Pune,Maharashtra,General,90,103,176,369,2026
NEET2025100101,Male,12/11/2001,3,Bengaluru,Karnataka,SC,106,37,83,226,2025
NEET2024100102,Male,30/10/2004,2,Nagpur,Maharashtra,General,92,165,270,527,2026
NEET2024100103,Male,13/12/2006,4,Delhi,Delhi,SC,91,157,358,606,2026
NEET2024100104,Male,11/11/2002,4,Delhi,Delhi,SC,32,149,207,388,2025
NEET2024100105,Female,02/03/2007,4,Thane,Maharashtra,General,94,146,214,454,2024
NEET2025100106,Male,11/04/2004,4,Ratnagiri,Maharashtra,SC,121,177,211,509,2023
NEET2024100107,Female,07/05/2006,2,Chennai,Tamil Nadu,OBC,42,157,206,405,2025
NEET2025100108,Female,08/08/2007,1,Hyderabad,Telangana,EWS,65,54,80,199,2025
NEET2026100109,Male,18/03/2008,2,Nagpur,Maharashtra,OBC,53,105,227,385,2025
NEET2026100110,Female,14/12/2005,3,Sangli,Maharashtra,General,99,72,191,362,2026
NEET2025100111,Male,04/11/2000,4,Nagpur,Maharashtra,General,87,131,345,563,2025
NEET2026100112,Female,06/01/2006,1,Pune,Maharashtra,OBC,146,124,194,464,2026
NEET2023100113,Female,12/04/2000,3,Ratnagiri,Maharashtra,ST,173,113,173,459,2023
NEET2023100114,Male,26/07/2001,2,Mumbai,Maharashtra,EWS,39,107,312,458,2024
NEET2024100115,Female,10/05/2004,1,Solapur,Maharashtra,ST,124,168,274,566,2026
NEET2026100116,Male,19/02/2003,3,Mumbai,Maharashtra,General,124,85,287,496,2025
NEET2025100117,Male,08/02/2006,1,Kolkata,West Bengal,ST,121,45,263,429,2023
NEET2024100118,Male,07/06/2007,2,Nashik,Maharashtra,General,35,42,230,307,2024
NEET2023100119,Female,29/07/2006,2,Nashik,Maharashtra,OBC,89,114,135,338,2025
NEET2023100120,Female,14/12/2008,2,Nagpur,Maharashtra,EWS,58,36,127,221,2025
NEET2026100121,Male,05/03/2000,1,Nagpur,Maharashtra,ST,97,43,124,264,2026
NEET2024100122,Male,21/09/2008,3,Kolhapur,Maharashtra,ST,161,57,291,509,2023
NEET2026100123,Female,06/09/2000,1,Solapur,Maharashtra,General,132,139,115,386,2025
NEET2025100124,Female,27/10/2006,3,Nagpur,Maharashtra,ST,46,62,200,308,2026
NEET2026100125,Female,10/02/2001,2,Hyderabad,Telangana,ST,59,171,170,400,2025
NEET2026100126,Female,31/01/2005,3,Thane,Maharashtra,SC,136,54,220,410,2024
NEET2023100127,Male,14/09/2007,4,Kolkata,West Bengal,General,151,47,106,304,2025
NEET2025100128,Male,16/06/2001,4,Sangli,Maharashtra,SC,45,180,347,572,2026
NEET2023100129,Male,01/02/2008,2,Mumbai,Maharashtra,ST,103,109,240,452,2024
NEET2025100130,Male,19/03/2001,4,Kolhapur,Maharashtra,EWS,172,124,118,414,2023
NEET2025100131,Female,30/10/2006,3,Kolkata,West Bengal,SC,98,37,152,287,2023
NEET2023100132,Male,13/01/2002,1,Chennai,Tamil Nadu,General,66,174,265,505,2024
NEET2025100133,Female,20/03/2004,3,Thane,Maharashtra,EWS,146,117,140,403,2023
NEET2025100134,Female,03/08/2000,4,Nagpur,Maharashtra,ST,70,42,101,213,2026
NEET2025100135,Female,23/08/2004,1,Aurangabad,Maharashtra,SC,85,161,118,364,2026
NEET2026100136,Male,28/11/2005,1,Delhi,Delhi,OBC,108,41,172,321,2025
NEET2025100137,Male,15/05/2002,1,Hyderabad,Telangana,ST,65,95,208,368,2026
NEET2025100138,Male,20/12/2001,4,Nagpur,Maharashtra,General,127,166,177,470,2026
NEET2026100139,Female,17/03/2000,4,Solapur,Maharashtra,SC,49,110,354,513,2023
NEET2025100140,Male,17/07/2004,4,Mumbai,Maharashtra,General,113,73,295,481,2024
NEET2026100141,Female,19/11/2004,3,Ratnagiri,Maharashtra,OBC,132,164,100,396,2025
NEET2024100142,Female,26/09/2008,3,Nagpur,Maharashtra,OBC,49,160,118,327,2024
NEET2024100143,Male,25/02/2001,2,Nagpur,Maharashtra,ST,95,80,148,323,2026
NEET2025100144,Female,17/06/2008,2,Ratnagiri,Maharashtra,ST,178,144,349,671,2023
NEET2025100145,Male,04/04/2005,3,Solapur,Maharashtra,ST,107,100,88,295,2026
NEET2023100146,Female,03/06/2000,4,Mumbai,Maharashtra,EWS,124,103,99,326,2023
NEET2026100147,Male,16/01/2005,1,Kolkata,West Bengal,ST,176,78,224,478,2023
NEET2023100148,Male,07/11/2003,4,Bengaluru,Karnataka,ST,51,159,148,358,2024
NEET2025100149,Male,30/01/2004,3,Kolhapur,Maharashtra,General,102,129,269,500,2025
NEET2024100150,Female,22/01/2001,1,Sangli,Maharashtra,EWS,128,102,189,419,2024
NEET2025100151,Female,03/12/2003,3,Aurangabad,Maharashtra,OBC,130,63,103,296,2023
NEET2023100152,Female,31/03/2007,3,Delhi,Delhi,OBC,138,160,245,543,2024
NEET2024100153,Male,31/10/2003,1,Hyderabad,Telangana,SC,154,79,175,408,2023
NEET2025100154,Male,10/09/2005,4,Hyderabad,Telangana,OBC,168,164,79,411,2024
NEET2026100155,Female,10/01/2002,2,Chennai,Tamil Nadu,ST,72,142,82,296,2025
NEET2024100156,Female,08/06/2008,4,Bengaluru,Karnataka,OBC,144,89,333,566,2025
NEET2026100157,Female,10/08/2007,2,Ratnagiri,Maharashtra,OBC,142,148,204,494,2024
NEET2023100158,Male,21/10/2002,3,Mumbai,Maharashtra,General,153,125,343,621,2024
NEET2023100159,Male,22/01/2003,4,Solapur,Maharashtra,SC,161,67,283,511,2023
NEET2024100160,Female,26/08/2004,1,Mumbai,Maharashtra,SC,131,158,251,540,2024
NEET2024100161,Male,25/04/2000,3,Kolhapur,Maharashtra,ST,55,115,134,304,2024
NEET2023100162,Male,05/07/2008,3,Bengaluru,Karnataka,OBC,150,144,62,356,2024
NEET2025100163,Male,25/02/2006,3,Bengaluru,Karnataka,General,165,138,116,419,2023
NEET2026100164,Male,03/09/2002,2,Thane,Maharashtra,OBC,147,46,116,309,2025
NEET2026100165,Male,24/10/2004,1,Mumbai,Maharashtra,EWS,120,91,352,563,2025
NEET2023100166,Female,04/10/2000,4,Sangli,Maharashtra,General,169,159,319,647,2026
NEET2025100167,Male,09/03/2004,1,Aurangabad,Maharashtra,EWS,34,121,94,249,2025
NEET2024100168,Female,30/06/2001,4,Mumbai,Maharashtra,OBC,120,169,233,522,2024
NEET2024100169,Male,15/09/2000,2,Bengaluru,Karnataka,General,147,39,210,396,2025
NEET2025100170,Male,24/06/2003,2,Sangli,Maharashtra,SC,131,169,302,602,2025
NEET2025100171,Female,03/10/2008,4,Mumbai,Maharashtra,ST,114,99,123,336,2026
NEET2025100172,Male,20/10/2003,4,Nagpur,Maharashtra,General,157,157,248,562,2026
NEET2025100173,Male,03/10/2006,1,Chennai,Tamil Nadu,SC,76,169,210,455,2025
NEET2025100174,Female,09/06/2003,1,Solapur,Maharashtra,SC,139,72,287,498,2026
NEET2025100175,Male,29/01/2003,1,Delhi,Delhi,OBC,44,49,267,360,2026
NEET2025100176,Female,22/05/2000,1,Nagpur,Maharashtra,EWS,47,90,247,384,2024
NEET2023100177,Male,13/08/2007,3,Solapur,Maharashtra,ST,124,125,287,536,2025
NEET2024100178,Female,14/04/2007,4,Aurangabad,Maharashtra,EWS,93,59,73,225,2023
NEET2025100179,Female,08/12/2002,2,Hyderabad,Telangana,General,96,144,169,409,2024
NEET2025100180,Female,30/10/2000,1,Solapur,Maharashtra,EWS,74,143,104,321,2025
NEET2024100181,Male,13/05/2003,2,Chennai,Tamil Nadu,OBC,70,74,245,389,2024
NEET2025100182,Female,11/11/2008,2,Solapur,Maharashtra,EWS,36,122,343,501,2023
NEET2026100183,Female,26/09/2000,1,Aurangabad,Maharashtra,OBC,131,152,329,612,2025
NEET2025100184,Male,16/03/2007,2,Pune,Maharashtra,OBC,145,149,324,618,2026
NEET2024100185,Female,21/08/2005,2,Kolkata,West Bengal,OBC,44,61,325,430,2025
NEET2023100186,Female,15/12/2007,2,Nashik,Maharashtra,EWS,118,162,205,485,2025
NEET2024100187,Male,27/05/2001,2,Delhi,Delhi,EWS,107,166,107,380,2025
NEET2025100188,Male,27/04/2006,4,Mumbai,Maharashtra,EWS,37,50,83,170,2023
NEET2026100189,Male,01/08/2005,4,Kolkata,West Bengal,SC,169,104,214,487,2026
NEET2026100190,Female,25/10/2000,4,Bengaluru,Karnataka,OBC,45,70,285,400,2025
NEET2026100191,Male,20/10/2006,3,Nagpur,Maharashtra,EWS,110,111,236,457,2023
NEET2026100192,Male,31/07/2003,2,Nashik,Maharashtra,General,149,61,196,406,2023
NEET2025100193,Female,03/04/2003,2,Thane,Maharashtra,OBC,137,93,141,371,2026
NEET2023100194,Male,09/10/2005,4,Solapur,Maharashtra,EWS,157,108,314,579,2026
NEET2023100195,Female,13/09/2002,4,Nashik,Maharashtra,EWS,179,120,84,383,2026
NEET2024100196,Female,16/03/2003,3,Sangli,Maharashtra,ST,32,57,280,369,2025
NEET2024100197,Female,04/07/2000,3,Thane,Maharashtra,General,43,175,347,565,2026
NEET2024100198,Male,27/08/2005,4,Solapur,Maharashtra,SC,170,101,120,391,2025
NEET2026100199,Male,03/04/2006,1,Kolhapur,Maharashtra,General,66,80,320,466,2024
NEET2024100200,Male,01/01/2008,3,Kolhapur,Maharashtra,EWS,151,162,293,606,2025
NEET2026100201,Female,27/10/2001,4,Thane,Maharashtra,General,106,116,319,541,2025
NEET2025100202,Male,18/09/2003,4,Delhi,Delhi,SC,58,136,358,552,2024
NEET2026100203,Male,02/02/2008,2,Mumbai,Maharashtra,General,179,152,147,478,2023
NEET2024100204,Female,20/02/2002,2,Mumbai,Maharashtra,ST,142,110,274,526,2026
NEET2024100205,Female,01/04/2008,4,Bengaluru,Karnataka,EWS,45,65,325,435,2026
NEET2025100206,Female,09/07/2003,4,Nagpur,Maharashtra,OBC,147,166,235,548,2024
NEET2025100207,Male,16/02/2003,4,Sangli,Maharashtra,SC,106,87,212,405,2026
NEET2026100208,Female,29/11/2003,3,Sangli,Maharashtra,OBC,100,103,122,325,2025
NEET2025100209,Female,21/06/2000,2,Aurangabad,Maharashtra,OBC,50,118,286,454,2025
NEET2024100210,Male,21/04/2006,1,Bengaluru,Karnataka,EWS,99,65,115,279,2024
NEET2025100211,Female,26/02/2007,1,Nashik,Maharashtra,OBC,43,55,271,369,2023
NEET2026100212,Male,04/03/2006,3,Kolkata,West Bengal,SC,70,134,303,507,2025
NEET2023100213,Male,30/03/2007,4,Mumbai,Maharashtra,OBC,52,176,178,406,2023
NEET2023100214,Male,14/06/2004,3,Hyderabad,Telangana,EWS,156,77,208,441,2023
NEET2026100215,Male,04/10/2003,4,Aurangabad,Maharashtra,SC,146,169,328,643,2024
NEET2024100216,Male,06/04/2001,3,Kolhapur,Maharashtra,SC,71,147,191,409,2024
NEET2025100217,Male,19/12/2001,4,Ratnagiri,Maharashtra,General,133,139,323,595,2024
NEET2025100218,Female,29/07/2001,2,Solapur,Maharashtra,ST,112,93,63,268,2025
NEET2025100219,Female,12/09/2003,2,Aurangabad,Maharashtra,General,179,176,65,420,2023
NEET2025100220,Male,21/03/2005,3,Aurangabad,Maharashtra,SC,70,133,317,520,2024
NEET2025100221,Female,16/06/2002,4,Nagpur,Maharashtra,EWS,152,69,292,513,2024
NEET2025100222,Male,17/07/2008,1,Nashik,Maharashtra,General,50,164,288,502,2024
NEET2026100223,Male,03/06/2006,2,Sangli,Maharashtra,EWS,68,72,227,367,2026
NEET2026100224,Male,07/01/2001,4,Kolkata,West Bengal,ST,160,144,88,392,2023
NEET2025100225,Male,07/04/2006,2,Solapur,Maharashtra,EWS,108,35,262,405,2023
NEET2023100226,Male,04/07/2000,4,Thane,Maharashtra,General,118,46,337,501,2025
NEET2026100227,Female,01/08/2004,4,Nagpur,Maharashtra,ST,64,137,251,452,2023
NEET2023100228,Male,28/08/2007,4,Delhi,Delhi,EWS,168,64,238,470,2024
NEET2026100229,Female,29/02/2008,4,Nashik,Maharashtra,OBC,30,35,212,277,2024
NEET2023100230,Male,01/03/2005,4,Kolhapur,Maharashtra,EWS,69,100,156,325,2023
NEET2026100231,Male,12/09/2002,2,Nashik,Maharashtra,General,47,55,77,179,2026
NEET2024100232,Female,02/12/2004,2,Nashik,Maharashtra,EWS,168,85,88,341,2025
NEET2024100233,Male,23/06/2006,4,Ratnagiri,Maharashtra,SC,112,90,214,416,2025
NEET2026100234,Male,06/09/2000,3,Sangli,Maharashtra,ST,74,139,344,557,2025
NEET2026100235,Male,23/10/2007,4,Thane,Maharashtra,OBC,134,68,213,415,2024
NEET2026100236,Female,16/05/2003,2,Chennai,Tamil Nadu,ST,66,148,89,303,2024
NEET2025100237,Male,10/11/2002,2,Nashik,Maharashtra,General,114,50,290,454,2025
NEET2024100238,Female,24/03/2004,2,Delhi,Delhi,SC,40,48,156,244,2025
NEET2024100239,Male,03/03/2000,4,Nashik,Maharashtra,OBC,78,60,305,443,2025
NEET2025100240,Female,11/09/2008,3,Aurangabad,Maharashtra,SC,127,149,333,609,2026
NEET2025100241,Female,23/03/2005,4,Pune,Maharashtra,General,150,111,164,425,2024
NEET2026100242,Female,24/04/2008,2,Nagpur,Maharashtra,OBC,34,96,343,473,2025
NEET2025100243,Female,31/07/2002,4,Thane,Maharashtra,ST,175,92,315,582,2026
NEET2026100244,Male,20/11/2001,1,Bengaluru,Karnataka,EWS,120,73,131,324,2023
NEET2024100245,Male,31/10/2000,1,Chennai,Tamil Nadu,OBC,42,31,271,344,2023
NEET2026100246,Female,14/06/2002,1,Sangli,Maharashtra,General,146,125,90,361,2026
NEET2025100247,Male,18/02/2000,4,Mumbai,Maharashtra,OBC,165,100,334,599,2023
NEET2025100248,Female,29/01/2001,3,Sangli,Maharashtra,ST,68,91,158,317,2023
NEET2024100249,Female,08/03/2004,1,Thane,Maharashtra,General,147,174,184,505,2023
NEET2023100250,Male,18/07/2004,2,Thane,Maharashtra,General,126,171,303,600,2026
NEET2023100251,Male,12/11/2004,2,Delhi,Delhi,EWS,114,174,108,396,2026
NEET2023100252,Male,15/01/2003,3,Mumbai,Maharashtra,General,49,101,338,488,2024
NEET2024100253,Male,01/08/2006,4,Nagpur,Maharashtra,EWS,131,49,213,393,2025
NEET2025100254,Male,21/04/2004,1,Hyderabad,Telangana,ST,65,50,316,431,2024
NEET2025100255,Female,07/11/2000,4,Kolhapur,Maharashtra,OBC,131,113,75,319,2025
NEET2026100256,Male,15/03/2006,3,Thane,Maharashtra,OBC,140,77,359,576,2023
NEET2026100257,Female,02/12/2000,3,Aurangabad,Maharashtra,General,69,127,138,334,2023
NEET2023100258,Male,22/01/2000,1,Aurangabad,Maharashtra,OBC,143,122,198,463,2026
NEET2023100259,Male,12/01/2005,1,Sangli,Maharashtra,SC,172,161,268,601,2023
NEET2025100260,Female,11/09/2006,4,Ratnagiri,Maharashtra,General,113,128,66,307,2024
NEET2024100261,Female,31/05/2006,3,Sangli,Maharashtra,SC,73,127,146,346,2026
NEET2026100262,Female,20/08/2001,4,Pune,Maharashtra,General,72,141,201,414,2025
NEET2023100263,Male,27/10/2002,3,Nashik,Maharashtra,General,156,80,294,530,2026
NEET2025100264,Female,22/09/2003,2,Chennai,Tamil Nadu,SC,127,114,285,526,2025
NEET2024100265,Female,06/10/2006,3,Bengaluru,Karnataka,SC,81,152,220,453,2026
NEET2025100266,Female,16/06/2006,3,Hyderabad,Telangana,General,92,113,252,457,2024
NEET2026100267,Male,22/08/2006,4,Sangli,Maharashtra,SC,76,170,73,319,2023
NEET2025100268,Male,03/12/2008,3,Hyderabad,Telangana,OBC,134,157,131,422,2026
NEET2026100269,Female,06/11/2008,1,Thane,Maharashtra,SC,48,144,305,497,2023
NEET2023100270,Female,23/03/2001,3,Hyderabad,Telangana,ST,93,120,145,358,2023
NEET2024100271,Female,13/02/2000,3,Pune,Maharashtra,ST,96,86,321,503,2026
NEET2025100272,Male,29/08/2008,4,Delhi,Delhi,General,180,158,137,475,2025
NEET2025100273,Female,30/08/2004,3,Kolkata,West Bengal,ST,51,59,132,242,2024
NEET2026100274,Female,04/11/2005,3,Solapur,Maharashtra,General,119,151,109,379,2025
NEET2023100275,Male,02/07/2000,2,Hyderabad,Telangana,EWS,59,35,235,329,2024
NEET2026100276,Male,10/03/2006,4,Nagpur,Maharashtra,OBC,114,173,278,565,2024
NEET2024100277,Female,08/03/2007,4,Delhi,Delhi,ST,140,131,74,345,2023
NEET2023100278,Male,26/11/2007,3,Nashik,Maharashtra,SC,82,101,92,275,2024
NEET2025100279,Female,17/02/2005,4,Pune,Maharashtra,EWS,97,155,330,582,2023
NEET2023100280,Male,26/11/2003,3,Kolhapur,Maharashtra,General,147,74,212,433,2024
NEET2026100281,Female,04/06/2003,2,Pune,Maharashtra,EWS,76,125,132,333,2026
NEET2024100282,Female,28/09/2004,3,Nagpur,Maharashtra,OBC,154,167,148,469,2024
NEET2023100283,Female,12/07/2003,2,Chennai,Tamil Nadu,OBC,145,43,243,431,2026
NEET2026100284,Female,19/04/2006,4,Sangli,Maharashtra,OBC,156,134,311,601,2023
NEET2025100285,Male,04/05/2006,3,Mumbai,Maharashtra,OBC,86,104,76,266,2026
NEET2023100286,Male,05/05/2006,3,Bengaluru,Karnataka,EWS,156,170,321,647,2025
NEET2024100287,Female,29/01/2006,1,Chennai,Tamil Nadu,OBC,40,142,339,521,2025
NEET2026100288,Male,12/05/2000,2,Solapur,Maharashtra,OBC,97,119,104,320,2025
NEET2024100289,Male,21/12/2007,1,Ratnagiri,Maharashtra,EWS,139,72,131,342,2025
NEET2025100290,Female,20/12/2005,3,Aurangabad,Maharashtra,EWS,167,73,225,465,2023
NEET2024100291,Male,09/07/2001,2,Hyderabad,Telangana,OBC,135,45,201,381,2025
NEET2025100292,Female,10/10/2002,4,Hyderabad,Telangana,ST,130,155,132,417,2023
NEET2025100293,Female,08/02/2007,4,Hyderabad,Telangana,ST,53,133,323,509,2025
NEET2023100294,Female,11/07/2006,2,Mumbai,Maharashtra,ST,53,147,243,443,2024
NEET2024100295,Female,19/07/2005,3,Aurangabad,Maharashtra,General,112,102,232,446,2023
NEET2024100296,Female,11/02/2001,4,Delhi,Delhi,General,147,34,123,304,2026
NEET2025100297,Male,08/04/2002,3,Bengaluru,Karnataka,SC,63,107,141,311,2023
NEET2025100298,Male,03/03/2004,4,Delhi,Delhi,General,72,43,262,377,2023
